,A,D,H
0,0.5547811419815586,0.21088435449974255,0.2343345035186991
1,0.5406576943037574,0.21550631475531118,0.24383599094093183
2,0.27529799663326354,0.279602431030129,0.44509957233660735
3,0.47283453609994164,0.24051375376372233,0.2866517101363364
4,0.3724374036626859,0.2621148078515903,0.36544778848572357
5,0.10685667308346962,0.2102638340093004,0.6828794929072295
6,0.2368264741553065,0.27230745126270806,0.4908660745819857
7,0.11971943204736032,0.2231576951950914,0.6571228727575479
8,0.3853893431433277,0.26627044131734534,0.34834021553932715
9,0.2901204843593346,0.27563721024067706,0.4342423053999881
10,0.1616018458188415,0.24387156776426128,0.5945265864168968
11,0.22606360569924952,0.2700470839117653,0.5038893103889855
12,0.34006998763684904,0.27030988465777445,0.3896201277053764
13,0.1186807202114859,0.21972805047030053,0.6615912293182126
14,0.4204563636174618,0.25823489665195254,0.32130873973058516
15,0.3485007621220648,0.27475120293526717,0.37674803494266756
16,0.34268811922889264,0.2765669765992744,0.38074490417183304
17,0.12422079371858374,0.22556087793521437,0.6502183283462014
18,0.5587541040231391,0.2091191362035504,0.2321267597733111
19,0.18563262693604798,0.27610605977090824,0.5382613132930436
20,0.45458473193815635,0.24633064198671667,0.29908462607512626
21,0.55606212557975,0.21035241070523275,0.23358546371501776
22,0.4278057390353928,0.2576415751040243,0.31455268586058277
23,0.11285313747856238,0.21407593713646997,0.6730709253849666
24,0.20148088014870846,0.25592449615989454,0.5425946236913977
25,0.5276988810879718,0.2223701998061477,0.24993091910588053
26,0.12598403411744155,0.2236287109674295,0.6503872549151279
27,0.21977287486156874,0.26788650919655155,0.5123406159418805
28,0.25406712477631577,0.27533011874604435,0.47060275647764027
29,0.1636078393932271,0.25986362529888357,0.5765285353078893
30,0.4466869707128255,0.24837890186627856,0.3049341274208955
31,0.5479179348719998,0.2124378301446791,0.23964423498332146
32,0.12076080514101074,0.22423644591759845,0.6550027489413902
33,0.10658401995018685,0.2138443950314826,0.6795715850183299
34,0.5035622752761487,0.22799145496711332,0.2684462697567383
35,0.21055912543806085,0.2569382843884351,0.5325025901735047
36,0.3273297432935077,0.27688026371556523,0.3957899929909268
37,0.5119865925582759,0.227760550975529,0.2602528564661949
38,0.14783249482102426,0.23860875728427977,0.613558747894695
39,0.30507840738983943,0.275395679569419,0.41952591304074166
40,0.30375977586286657,0.28268092446992243,0.4135592996672113
41,0.16396344895627776,0.2418945734749085,0.5941419775688129
42,0.16609973825259974,0.26283261616975856,0.5710676455776414
43,0.21507506944060234,0.2626648864211447,0.522260044138254
44,0.36113519879696543,0.2764493390798076,0.3624154621232264
45,0.2824385591677709,0.27969490539004516,0.43786653544218357
46,0.1312814958468323,0.22609076267723086,0.6426277414759358
47,0.3638763900062237,0.27430520160333727,0.36181840839043866
48,0.5128567241073827,0.2240735183642441,0.2630697575283738
49,0.1692691904703748,0.2578195613279735,0.5729112482016507
50,0.554994869774803,0.21349011421643593,0.23151501600876165
51,0.10709154168299005,0.21042968339195386,0.6824787749250557
52,0.5519571947181748,0.21494882628338832,0.2330939789984373
53,0.2702961739553738,0.2641775233339289,0.46552630271069834
54,0.34357760516915614,0.2800329138732886,0.37638948095755514
55,0.23734110157136756,0.27421384709049357,0.48844505133813915
56,0.13885171470127064,0.23938911386027728,0.6217591714384512
57,0.2824778476801479,0.2800556225910071,0.43746652972884503
58,0.2191158963577595,0.2634373209983395,0.5174467826439019
59,0.4927883402282096,0.23532896935355307,0.27188269041823776
60,0.23456177359964195,0.28333215274129714,0.4821060736590604
61,0.25575932879960805,0.2705009698165885,0.47373970138380356
62,0.564750120675666,0.2076712811134389,0.22757859821089574
63,0.22901819953374575,0.26484073749713627,0.506141062969119
64,0.24429163575955976,0.27295872988327446,0.48274963435716617
65,0.10999322645994525,0.2141720427983623,0.6758347307416918
66,0.2645057734058082,0.2732758963425537,0.4622183302516385
67,0.4790925913482514,0.23972401986118463,0.2811833887905641
68,0.20843617165225423,0.26599838822141025,0.5255654401263349
69,0.2185633315917618,0.26349045462962506,0.5179462137786137
70,0.1245918338471303,0.22165504779902453,0.6537531183538443
71,0.41692984929633337,0.2585575398267324,0.3245126108769339
72,0.22960251949740623,0.28625785152649846,0.48413962897609464
73,0.2682005409145262,0.28317126866027187,0.4486281904252015
74,0.2682243352835034,0.2851844567727082,0.44659120794378904
75,0.27975728606053163,0.2813720585592528,0.4388706553802159
76,0.11859815553426481,0.22086410100280923,0.6605377434629248
77,0.2201859539379532,0.2680066478274521,0.5118073982345951
78,0.12628109760723255,0.22796099207331313,0.645757910319453
79,0.5358298192282711,0.22099167291148075,0.24317850786024864
80,0.5639170413113451,0.21124527631864487,0.22483768237001056
81,0.32390209713260526,0.27911165884473366,0.39698624402266064
82,0.5579792607434966,0.21203180508385733,0.22998893417264668
83,0.12927429642707078,0.2318158856801552,0.6389098178927727
84,0.10691218144542945,0.21017119155791775,0.6829166269966521
85,0.2211097426359254,0.26412011156321663,0.5147701458008589
86,0.40223040022104567,0.26700735292656785,0.33076224685238603
87,0.11753652776920677,0.21494028023813722,0.667523191992655
88,0.5143073871745273,0.22581527752164565,0.25987733530382745
89,0.14543343285350177,0.24593789099993862,0.608628676146559
90,0.2685588182267891,0.27694775353692663,0.45449342823628397
91,0.1912540702292053,0.2514476345011641,0.5572982952696303
92,0.114207610959193,0.21269484345806056,0.6730975455827456
93,0.10930444926789872,0.21566873211973517,0.6750268186123656
94,0.2191872993882493,0.2610676115379178,0.5197450890738342
95,0.33132854878039125,0.2701532877570385,0.3985181634625707
96,0.32005237104317424,0.27905517533755303,0.40089245361927234
97,0.39689728232270916,0.26381629551843294,0.3392864221588579
98,0.4223884966914728,0.2553825674527681,0.3222289358557585
99,0.1779492089933674,0.2524447837977451,0.5696060072088868
100,0.5486429568552106,0.2125559602368469,0.23880108290794275
101,0.48358572118404314,0.23383355003657946,0.28258072877937673
102,0.26882076834225604,0.28625585534061126,0.44492337631713275
103,0.2070445650021324,0.261249798792108,0.53170563620576
104,0.1316110045745712,0.2355280632569616,0.6328609321684661
105,0.34376393336215333,0.27955837376674864,0.3766776928710977
106,0.503263754990751,0.23214646026996716,0.26458978473928196
107,0.3364709591163308,0.2766472335880962,0.38688180729557275
108,0.531265171553951,0.22214936648057662,0.2465854619654723
109,0.21266935144905932,0.26862139191148715,0.5187092566394534
110,0.1704035707983761,0.25148394576963906,0.578112483431984
111,0.25505488637242524,0.2744721884561941,0.47047292517138095
112,0.3177437303295977,0.27580703674983315,0.4064492329205687
113,0.21422520001522286,0.2612020409520505,0.5245727590327275
114,0.21527073092778817,0.2671612825494311,0.5175679865227806
115,0.2207123715171148,0.27033222707871374,0.508955401404172
116,0.26246004997319267,0.27204936854746803,0.46549058147934
117,0.5444377329813457,0.21698578021846765,0.23857648680018703
118,0.13229300476622363,0.22996542051880123,0.6377415747149738
119,0.36819660494858397,0.26867327681473047,0.36313011823668523
120,0.24099181261379002,0.283699975359104,0.4753082120271058
121,0.1639187606717139,0.24186974667012473,0.594211492658161
122,0.3633055429902376,0.2763724252089855,0.36032203180077654
123,0.4076509250071852,0.2617659383743946,0.33058313661841987
124,0.13550454023768102,0.2323649420809761,0.6321305176813414
125,0.2599876043325211,0.2865856695624359,0.4534267261050428
126,0.4910818166943824,0.23429673276154053,0.27462145054407733
127,0.10817519942134793,0.2147566579033769,0.6770681426752747
128,0.1282166837147618,0.22408990420088307,0.6476934120843544
129,0.20613260051665314,0.26239476495113706,0.5314726345322103
130,0.5501724743761875,0.21488234706957138,0.23494517855424166
131,0.17558780149305533,0.25771272970607084,0.5666994688008733
132,0.31005438589288137,0.2714270337224447,0.4185185803846741
133,0.2436932454981362,0.27808624103305823,0.4782205134688059
134,0.19620795836211394,0.264601086898138,0.539190954739748
135,0.21297150910141602,0.2588538692361483,0.5281746216624366
136,0.23834097291438033,0.27330550433083695,0.48835352275478333
137,0.45628466381033367,0.24813845812305507,0.29557687806661054
138,0.5370676094018653,0.21857024844478287,0.24436214215335225
139,0.4358106516048518,0.2545074125310746,0.30968193586407333
140,0.37968266564063596,0.2724257493285086,0.3478915850308549
141,0.2201554558113725,0.26160030856644595,0.5182442356221827
142,0.43349582009008897,0.2543337908646304,0.31217038904528027
143,0.16531164753643865,0.24380704289127417,0.5908813095722866
144,0.11327897777238671,0.21115232610100146,0.6755686961266111
145,0.3109956754421435,0.28322186325573334,0.4057824613021231
146,0.5235874150377283,0.22579775130887944,0.2506148336533926
147,0.20088976011616225,0.27211005744149946,0.5270001824423383
148,0.10946737629042921,0.21737236552464828,0.6731602581849218
149,0.12616298509628576,0.22781339940428014,0.6460236154994333
150,0.228449518993952,0.26853030270354067,0.5030201783025081
151,0.43491769620074733,0.2509696574889808,0.31411264631027147
152,0.20943085844875461,0.2608161576290575,0.5297529839221886
153,0.4007741338967051,0.2594808052164612,0.33974506088683315
154,0.5550011512331898,0.21127742860412504,0.23372142016268538
155,0.26564838942464697,0.27278794761537767,0.4615636629599753
156,0.29361634093423894,0.28391731880804694,0.4224663402577145
157,0.13132546028591496,0.23041817833486264,0.6382563613792217
158,0.21329214178666045,0.25982306788300413,0.5268847903303364
159,0.31279625264173516,0.2719025805443007,0.4153011668139644
160,0.3695325727939129,0.2695131552586601,0.3609542719474272
161,0.5564626655594251,0.2135264771278799,0.2300108573126954
162,0.21497004993802105,0.2899008470341367,0.4951291030278423
163,0.5587975479813129,0.20932153621803826,0.2318809158006491
164,0.10700552562803024,0.2083807156521684,0.6846137587198008
165,0.2369271681673749,0.2746902917936959,0.4883825400389298
166,0.4868639302848755,0.23631607851361439,0.2768199912015099
167,0.11395252375460223,0.21433660276144126,0.6717108734839555
168,0.10603503281510458,0.2106361637754633,0.6833288034094315
169,0.13126142030590127,0.22799699282988736,0.64074158686421
170,0.5419992380792719,0.21594334394030634,0.24205741798042263
171,0.4662797619729713,0.24511349386903,0.28860674415799886
172,0.2953249477985661,0.2777827886254625,0.42689226357597104
173,0.2116910984577833,0.26474803483376635,0.5235608667084508
174,0.3226639491562374,0.2654416147440294,0.4118944360997333
175,0.137580231218681,0.2413711960249626,0.6210485727563557
176,0.1931352682603222,0.25600274721089544,0.5508619845287821
177,0.11363744955818475,0.21400880388934393,0.6723537465524706
178,0.26685798969151336,0.2762445827514426,0.45689742755704443
179,0.24098348325479624,0.26656439816492544,0.4924521185802785
180,0.33098095107509323,0.28057819266560335,0.3884408562593034
181,0.38521565394130214,0.26855377878215425,0.3462305672765438
182,0.16650104384379016,0.2576041196768142,0.5758948364793949
183,0.19892572825227206,0.29127886864524316,0.5097954031024846
184,0.5580206915984018,0.21322568231639943,0.22875362608519914
185,0.5029781100804798,0.23127232727635508,0.265749562643165
186,0.2362664471820946,0.27258704085610813,0.4911465119617974
187,0.22160690807758157,0.2640916512915326,0.5143014406308868
188,0.2054759752937185,0.25619899161947673,0.5383250330868052
189,0.37342449337980066,0.27178867243008936,0.35478683419010937
190,0.22160514845609158,0.27039160900051823,0.5080032425433898
191,0.3092039270473964,0.27818405086861964,0.4126120220839844
192,0.4168020764237437,0.2588867081585778,0.32431121541767843
193,0.36191982487926155,0.26568633996277125,0.37239383515796715
194,0.12826026226939213,0.22405586878613276,0.6476838689444737
195,0.5667140627313357,0.2071818670899901,0.2261040701786746
196,0.11514288727384117,0.21883845649131406,0.666018656234844
197,0.11168107125466993,0.2108588801467915,0.6774600485985375
198,0.3624296362325993,0.2725934687014737,0.3649768950659271
199,0.4843012375067929,0.23788211391768893,0.2778166485755182
200,0.41922286190513786,0.2506636704763799,0.33011346761848126
201,0.10687521544639024,0.2156246090631639,0.6775001754904456
202,0.2838065615449838,0.2825887421327047,0.4336046963223113
203,0.3186919193432699,0.27942780123266414,0.40188027942406584
204,0.2087293380651176,0.25688264988819504,0.5343880120466877
205,0.14237219188739422,0.2368557834274342,0.6207720246851707
206,0.3200281035981942,0.2762974814136726,0.4036744149881335
207,0.31784509711064396,0.2782018651564337,0.4039530377329227
208,0.5559470195766268,0.21311223535600377,0.2309407450673698
209,0.3888942319409169,0.2582410123984063,0.35286475566067643
210,0.299945996779386,0.2808830133268955,0.41917098989371815
211,0.15360386484633826,0.23775402640482152,0.6086421087488392
212,0.33145059128905363,0.27730008560942065,0.3912493231015261
213,0.5200463937030319,0.2258485034213982,0.25410510287557
214,0.21927346231951964,0.2631451584638073,0.5175813792166739
215,0.30114821944097914,0.2760674805418024,0.42278430001721895
216,0.554095265000628,0.21078636526614758,0.235118369733225
217,0.10358725663067553,0.20523126566502853,0.6911814777042954
218,0.1141880362485751,0.21673838239795237,0.6690735813534721
219,0.5374534875244004,0.2207436127611067,0.24180289971449329
220,0.150875317353662,0.23369210557355713,0.6154325770727798
221,0.12142151183004535,0.22421634816021246,0.6543621400097414
222,0.3584753860892787,0.27719706530096944,0.36432754860975125
223,0.1329707159224558,0.23192417180081162,0.6351051122767318
224,0.20526339991232923,0.2613697395087109,0.5333668605789604
225,0.12009005691934604,0.22679461570029746,0.6531153273803558
226,0.36105206334601553,0.2689715011181541,0.3699764355358301
227,0.258052595025868,0.2768490582413302,0.465098346732802
228,0.46632454523021116,0.2405277720031163,0.2931476827666723
229,0.5070654522464364,0.22827928552575671,0.2646552622278065
230,0.5591238399235673,0.21222286005079888,0.22865330002563442
231,0.10429006459395102,0.21212934567465158,0.6835805897313969
232,0.5514604060177587,0.21447246913203383,0.23406712485020803
233,0.2264922154215478,0.26304676499791285,0.5104610195805402
234,0.33132854878039125,0.2701532877570385,0.3985181634625707
235,0.3186919193432699,0.27942780123266414,0.40188027942406584
236,0.24402700543959008,0.27754643066758156,0.47842656389282856
237,0.11367463933597317,0.2115477979441646,0.6747775627198612
238,0.4922536427036764,0.235115322356506,0.2726310349398175
239,0.299945996779386,0.2808830133268955,0.41917098989371815
240,0.22219011122618595,0.2631555786142712,0.5146543101595431
241,0.22160514845609158,0.27039160900051823,0.5080032425433898
242,0.5419992380792719,0.21594334394030634,0.24205741798042263
243,0.2243871551298418,0.26668146628712125,0.5089313785830378
244,0.1616018458188415,0.24387156776426128,0.5945265864168968
245,0.4053660750341216,0.2625909087302634,0.3320430162356149
246,0.11285313747856238,0.21407593713646997,0.6730709253849666
247,0.37355878307801854,0.27457252039555474,0.3518686965264264
248,0.25223065671565714,0.2680053787471926,0.47976396453715014
249,0.1636078393932271,0.25986362529888357,0.5765285353078893
250,0.4868639302848755,0.23631607851361439,0.2768199912015099
251,0.37576887264042674,0.2738810649134846,0.3503500624460881
252,0.5150093871741506,0.2254793178605828,0.2595112949652669
253,0.3695325727939129,0.2695131552586601,0.3609542719474272
254,0.15174633153223954,0.250223891034431,0.5980297774333281
255,0.3335608027126305,0.2658256665565713,0.4006135307307984
256,0.3584753860892787,0.27719706530096944,0.36432754860975125
257,0.16609973825259974,0.26283261616975856,0.5710676455776414
258,0.23419907254553027,0.27211043365552606,0.4936904937989447
259,0.114207610959193,0.21269484345806056,0.6730975455827456
260,0.5501724743761875,0.21488234706957138,0.23494517855424166
261,0.5547811419815586,0.21088435449974255,0.2343345035186991
262,0.2069842951435652,0.2584777955198081,0.5345379093366273
263,0.2757127027979423,0.2789421626236514,0.44534513457840597
264,0.11108637126394624,0.2097005056446825,0.6792131230913703
265,0.12507359956589875,0.22399275681404182,0.6509336436200582
266,0.23141341399251664,0.26845588820630767,0.5001306978011772
267,0.4875699783285667,0.23906032838851743,0.27336969328291644
268,0.26564838942464697,0.27278794761537767,0.4615636629599753
269,0.1912540702292053,0.2514476345011641,0.5572982952696303
270,0.23738946148051343,0.28429613607973053,0.4783144024397557
271,0.10658401995018685,0.2138443950314826,0.6795715850183299
272,0.20920676065991356,0.2668560253394421,0.5239372140006439
273,0.26882076834225604,0.28625585534061126,0.44492337631713275
274,0.27340444257075713,0.2723506244881646,0.4542449329410788
275,0.13126142030590127,0.22799699282988736,0.64074158686421
276,0.5417498672374947,0.21763833178888903,0.24061180097361676
277,0.5268042454190346,0.22118556255591523,0.25201019202505054
278,0.2570037312749337,0.28383641276331395,0.459159855961753
279,0.5029781100804798,0.23127232727635508,0.265749562643165
280,0.37781865988996083,0.2738632385947796,0.34831810151525905
281,0.31784509711064396,0.2782018651564337,0.4039530377329227
282,0.1610366773957712,0.2445321048999669,0.5944312177042612
283,0.24591806630073704,0.2645505381523714,0.48953139554689196
284,0.22810357273181647,0.2732332047153222,0.49866322255286166
285,0.11327897777238671,0.21115232610100146,0.6755686961266111
286,0.47283453609994164,0.24051375376372233,0.2866517101363364
287,0.48018272042836907,0.23838259366888168,0.2814346859027494
288,0.10731530574741785,0.2074963649072028,0.6851883293453784
289,0.31061611293496666,0.2873753545427307,0.4020085325223022
290,0.29022395895288416,0.27581516686292423,0.4339608741841918
291,0.2700173332839968,0.27523891515339816,0.45474375156260477
292,0.47883228556524543,0.23443953674923831,0.2867281776855166
293,0.29723264401840893,0.27682984612816547,0.4259375098534256
294,0.27975728606053163,0.2813720585592528,0.4388706553802159
295,0.10603503281510458,0.2106361637754633,0.6833288034094315
296,0.20733785151506642,0.25508425468618856,0.5375778937987455
297,0.14218411811999493,0.23624330135156882,0.6215725805284353
298,0.48358572118404314,0.23383355003657946,0.28258072877937673
299,0.1931352682603222,0.25600274721089544,0.5508619845287821
300,0.2415306582533677,0.27742929787766063,0.4810400438689719
301,0.2809973247515305,0.279839235468533,0.43916343977993644
302,0.5484452191016099,0.21602988338592,0.23552489751247066
303,0.3273297432935077,0.27688026371556523,0.3957899929909268
304,0.14543343285350177,0.24593789099993862,0.608628676146559
305,0.21326536396099852,0.2605320881671105,0.5262025478718916
306,0.27529799663326354,0.279602431030129,0.44509957233660735
307,0.13550454023768102,0.2323649420809761,0.6321305176813414
308,0.1245918338471303,0.22165504779902453,0.6537531183538443
309,0.5296819331143725,0.2208317598329974,0.24948630705263028
310,0.4927883402282096,0.23532896935355307,0.27188269041823776
311,0.5580206915984018,0.21322568231639943,0.22875362608519914
312,0.3281172112412709,0.2738232599550719,0.39805952880365736
313,0.11753652776920677,0.21494028023813722,0.667523191992655
314,0.17516620509092432,0.25238562117192415,0.5724481737371505
315,0.2554257259215415,0.27445828725637544,0.4701159868220836
316,0.19645832809351418,0.25143077385319407,0.552110898053292
317,0.20522753987191258,0.26552298333127594,0.5292494767968119
318,0.10999322645994525,0.2141720427983623,0.6758347307416918
319,0.36819660494858397,0.26867327681473047,0.36313011823668523
320,0.40945505360314866,0.2488011989051697,0.341743747491681
321,0.3866070172289811,0.2650214860386265,0.3483714967323923
322,0.23893687748436301,0.2705509752540563,0.49051214726158143
323,0.5464853446651692,0.2135387095629867,0.2399759457718441
324,0.36917899825842426,0.2699306620604862,0.3608903396810893
325,0.11081192765066528,0.2094647390936848,0.6797233332556489
326,0.36113519879696543,0.2764493390798076,0.3624154621232264
327,0.2901204843593346,0.27563721024067706,0.4342423053999881
328,0.12826026226939213,0.22405586878613276,0.6476838689444737
329,0.21497004993802105,0.2899008470341367,0.4951291030278423
330,0.4741501868889232,0.24089267640048834,0.2849571367105882
331,0.47265602993006456,0.24210223281829826,0.28524173725163743
332,0.5667791521440412,0.20794113320976834,0.22527971464619082
333,0.24686271387195205,0.26995417436510016,0.48318311176294815
334,0.12162408986074577,0.22169607587162482,0.6566798342676287
335,0.2160621252957142,0.26421654855156007,0.5197213261527261
336,0.23834097291438033,0.27330550433083695,0.48835352275478333
337,0.5479179348719998,0.2124378301446791,0.23964423498332146
338,0.1334166696645548,0.22912696622421508,0.6374563641112293
339,0.4204563636174618,0.25823489665195254,0.32130873973058516
340,0.4466869707128255,0.24837890186627856,0.3049341274208955
341,0.23571127998227187,0.27311500673848604,0.4911737132792425
342,0.3888942319409169,0.2582410123984063,0.35286475566067643
343,0.13179421464766494,0.22877913299240066,0.6394266523599331
344,0.3638763900062237,0.27430520160333727,0.36181840839043866
345,0.353257181009837,0.2718145110355081,0.3749283079546549
346,0.2682243352835034,0.2851844567727082,0.44659120794378904
347,0.13056294494898846,0.2252065277670007,0.64423052728401
348,0.11859815553426481,0.22086410100280923,0.6605377434629248
349,0.2836602284445397,0.28558201217829277,0.43075775937716737
350,0.23796233193522273,0.27248578793438,0.48955188013039785
351,0.5333150447512883,0.22015817868962045,0.24652677655909175
352,0.13229300476622363,0.22996542051880123,0.6377415747149738
353,0.26246004997319267,0.27204936854746803,0.46549058147934
354,0.44843071843755944,0.24974085423780165,0.30182842732463894
355,0.5638035551638663,0.20834701611170198,0.22784942872443215
356,0.14105637662531212,0.22860425692942907,0.6303393664452583
357,0.2682005409145262,0.28317126866027187,0.4486281904252015
358,0.21266935144905932,0.26862139191148715,0.5187092566394534
359,0.41806959425807994,0.24990399703961205,0.3320264087023078
360,0.30777037789805944,0.27739381711638167,0.41483580498555883
361,0.137580231218681,0.2413711960249626,0.6210485727563557
362,0.31005438589288137,0.2714270337224447,0.4185185803846741
363,0.5579792607434966,0.21203180508385733,0.22998893417264668
364,0.10399701993690047,0.21164354119214843,0.6843594388709505
365,0.24078407398389173,0.28036328810641203,0.4788526379096962
366,0.14783249482102426,0.23860875728427977,0.613558747894695
367,0.4469633898679073,0.2479818907266304,0.3050547194054622
368,0.22020194346862557,0.272768877336842,0.5070291791945332
369,0.12454071915884767,0.22456072034011826,0.6508985605010332
370,0.36105206334601553,0.2689715011181541,0.3699764355358301
371,0.5559470195766268,0.21311223535600377,0.2309407450673698
372,0.11792712001055347,0.22701436574570308,0.6550585142437432
373,0.35667880970695803,0.2648979379429054,0.378423252350136
374,0.1083713890945675,0.212645034266728,0.6789835766387038
375,0.20163055766915175,0.25706553213759914,0.5413039101932499
376,0.32390209713260526,0.27911165884473366,0.39698624402266064
377,0.1903396009612546,0.25748844834713364,0.5521719506916115
378,0.21791298509368692,0.26749082367438465,0.5145961912319297
379,0.10358725663067553,0.20523126566502853,0.6911814777042954
